resort_name,country,town,elevation_m,total_km,blue_km,red_km,black_km,lift_price
23. Les Arcs/​Peisey-Vallandry (Paradiski),France,Arc 1600,2026.0,200.0,104.0,70.0,26.0,"€ 70,-"
27. Espace Diamant – Les Saisies/​Notre-Dame-de-Bellecombe/​Praz sur Arly/​Flumet/​Crest-Voland,France,Les Saisies,1069.0,192.0,132.0,49.0,11.0,"€ 50,-"
28. KitzSki – Kitzbühel/​Kirchberg,Austria,Kitzbühel,1200.0,188.0,102.0,66.0,20.0,€ 79.50
29. Serfaus-Fiss-Ladis,Austria,Serfaus,1628.0,186.0,47.0,112.0,27.0,"€ 78,-"
30. Megève/​Saint-Gervais,France,Megève,1503.0,185.0,70.0,90.0,25.0,€ 63.50
30. Vars/​Risoul – La Forêt Blanche,France,Risoul 1850,1100.0,185.0,75.0,90.0,20.0,"€ 58,-"
32. Val Gardena (Gröden),Italy,St. Ulrich,1282.0,181.0,52.0,108.0,21.0,"€ 80,-"
33. Espace Lumière – Pra Loup/​Val d’Allos,France,Pra Loup,968.0,180.0,56.0,93.5,30.5,€ 48.50
34. Laax/​Flims/​Falera,Switzerland,Flims,1918.0,176.0,85.0,76.0,15.0,
35. Baqueira/​Beret,Spain,Baqueira,1110.0,166.0,77.0,68.0,21.0,"€ 75,-"
36. Steamboat,USA,Steamboat Springs,1118.0,165.0,25.0,95.0,45.0,"US$ 299,- / approx. € 254,-"
36. Le Grand Domaine – Valmorel/​Doucy/​Celliers/​St François Longchamp,France,Valmorel,1153.0,165.0,115.0,35.0,15.0,€ 58.50
38. Galibier Thabor – Valmeinier/​Valloire,France,Valloire,1320.0,160.0,60.0,85.0,15.0,€ 53.60
39. Madonna di Campiglio/​Pinzolo/​Folgàrida/​Marilleva,Italy,Madonna di Campiglio,1652.0,155.0,50.0,72.0,33.0,"€ 85,-"
39. St. Moritz – Corviglia,Switzerland,St. Moritz,1285.0,155.0,42.0,79.0,34.0,
41. Breckenridge,USA,Breckenridge,988.0,153.0,28.0,60.0,65.0,"US$ 321,- / approx. € 273,-"
42. Zillertal Arena – Zell am Ziller/​Gerlos/​Königsleiten/​Hochkrimml,Austria,Zell am Ziller,1920.0,150.1,50.0,88.1,12.0,"€ 79,-"
43. Beaver Creek,USA,Beaver Creek Village,1233.0,150.0,28.5,64.5,57.0,"US$ 356,- / approx. € 303,-"
44. La Molina/​Masella – Alp2500,Spain,La Molina,921.0,145.0,80.0,47.0,18.0,"€ 58,-"
45. Sölden,Austria,Sölden,1990.0,143.4,76.4,37.8,29.2,"€ 83,-"
46. Espace San Bernardo – La Rosière/​La Thuile,France,La Thuile,1610.0,143.1,56.0,70.5,16.6,"€ 58,-"
47. Winter Park Resort,USA,The Village at Winter Park,933.0,143.0,11.0,53.0,79.0,"US$ 283,- / approx. € 241,-"
47. Formigal,Spain,Formigal,764.0,143.0,48.0,75.0,20.0,"€ 61,-"
49. Mayrhofen – Penken/​Ahorn/​Rastkogel/​Eggalm (Mountopolis),Austria,Mayrhofen,1870.0,142.0,44.0,66.0,32.0,"€ 79,-"
49. Fernie,Canada,Fernie Alpine Village,1082.0,142.0,42.0,58.0,42.0,"C$ 189,- / approx. € 117,-"
51. Silvretta Montafon,Austria,Schruns,1730.0,141.6,60.0,50.0,31.6,"€ 77,-"
52. Crans-Montana,Switzerland,Crans,1417.0,140.0,55.0,70.0,15.0,"SFr. 89,- / approx. € 96,-"
53. Lake Louise,Canada,Lake Louise,991.0,139.0,35.0,62.0,42.0,"C$ 175,- / approx. € 109,-"
54. Sun Peaks,Canada,Sun Peaks,884.0,135.0,13.5,78.0,43.5,"C$ 199,- / approx. € 123,-"
54. Keystone,USA,Keystone,908.0,135.0,25.0,65.0,45.0,"US$ 292,- / approx. € 248,-"
54. Aspen Highlands,USA,Highlands Village,1108.0,135.0,24.3,40.5,70.2,"US$ 279,- / approx. € 237,-"
54. Auron (Saint-Etienne-de-Tinée),France,Auron,850.0,135.0,58.0,45.0,32.0,"€ 44,-"
58. Alagna Valsesia/​Gressoney-La-Trinité/​Champoluc/​Frachey (Monterosa Ski),Italy,Alagna Valsesia,2063.0,132.0,29.0,89.0,14.0,"€ 69,-"
59. Alta Badia,Italy,Corvara,1454.0,130.0,74.0,47.0,9.0,"€ 80,-"
60. Copper Mountain,USA,Frisco,832.0,126.0,30.0,40.0,56.0,"US$ 269,- / approx. € 228,-"
