resort_name,country,town,elevation_m,total_km,blue_km,red_km,black_km,lift_price,latitude,longitude
12. Alpe d'Huez,France,Alpe d'Huez,2205.0,250.0,70.0,130.0,50.0,"€ 66,-",45.092401,6.0699443
16. Ischgl/​Samnaun – Silvretta Arena,Austria,Ischgl,1512.0,239.0,47.0,140.0,52.0,"€ 79,-",47.0120228,10.2913166
17. Snowmass,USA,Snowmass Village,1340.0,237.0,12.0,114.0,111.0,"US$ 279,- / approx. € 237,-",39.2130418,-106.9378207
18. Vail,USA,Vail,1070.0,234.0,57.0,84.0,93.0,"US$ 356,- / approx. € 303,-",39.6438028,-106.3888231
19. Arosa Lenzerheide,Switzerland,Arosa,1636.0,225.0,110.0,87.0,28.0,"SFr. 89,- / approx. € 96,-",46.7797248,9.6781356
19. La Plagne (Paradiski),France,Plagne Centre,1960.0,225.0,139.0,59.0,27.0,"€ 70,-",45.5058779,6.6743647
21. Grandvalira – Pas de la Casa/​Grau Roig/​Soldeu/​El Tarter/​Canillo/​Encamp,Andorra,Canillo,930.0,215.0,100.0,82.0,33.0,"€ 69,-",42.5668305,1.5977647
22. Deer Valley,USA,Park City,933.0,202.0,72.0,90.0,40.0,"US$ 349,- / approx. € 297,-",40.6460921,-111.4979963
23. Whistler Blackcomb,Canada,Whistler,1609.0,200.0,40.0,110.0,50.0,"C$ 351,- / approx. € 218,-",50.1171903,-122.9543022
23. Palisades Tahoe,USA,The Village at Palisades Tahoe,855.0,200.0,50.0,85.0,65.0,"US$ 290,- / approx. € 247,-",,
23. Les 2 Alpes,France,Les Deux Alpes,2243.0,200.0,110.0,56.0,34.0,"€ 66,-",45.0099949,6.1237609
23. Les Arcs/​Peisey-Vallandry (Paradiski),France,Arc 1600,2026.0,200.0,104.0,70.0,26.0,"€ 70,-",45.5941276,6.7946151
27. Espace Diamant – Les Saisies/​Notre-Dame-de-Bellecombe/​Praz sur Arly/​Flumet/​Crest-Voland,France,Les Saisies,1069.0,192.0,132.0,49.0,11.0,"€ 50,-",45.7573298,6.5394475
28. KitzSki – Kitzbühel/​Kirchberg,Austria,Kitzbühel,1200.0,188.0,102.0,66.0,20.0,€ 79.50,47.4463585,12.3911473
29. Serfaus-Fiss-Ladis,Austria,Serfaus,1628.0,186.0,47.0,112.0,27.0,"€ 78,-",47.0375066,10.6103285
30. Megève/​Saint-Gervais,France,Megève,1503.0,185.0,70.0,90.0,25.0,€ 63.50,45.8567089,6.617932
30. Vars/​Risoul – La Forêt Blanche,France,Risoul 1850,1100.0,185.0,75.0,90.0,20.0,"€ 58,-",,
32. Val Gardena (Gröden),Italy,St. Ulrich,1282.0,181.0,52.0,108.0,21.0,"€ 80,-",46.5752077,11.6721382
33. Espace Lumière – Pra Loup/​Val d’Allos,France,Pra Loup,968.0,180.0,56.0,93.5,30.5,€ 48.50,,
34. Laax/​Flims/​Falera,Switzerland,Flims,1918.0,176.0,85.0,76.0,15.0,,46.8332439,9.2834557
35. Baqueira/​Beret,Spain,Baqueira,1110.0,166.0,77.0,68.0,21.0,"€ 75,-",42.6992676,0.9316411
36. Steamboat,USA,Steamboat Springs,1118.0,165.0,25.0,95.0,45.0,"US$ 299,- / approx. € 254,-",40.4848003,-106.831735
36. Le Grand Domaine – Valmorel/​Doucy/​Celliers/​St François Longchamp,France,Valmorel,1153.0,165.0,115.0,35.0,15.0,€ 58.50,45.4781616,6.4562373
38. Galibier Thabor – Valmeinier/​Valloire,France,Valloire,1320.0,160.0,60.0,85.0,15.0,€ 53.60,45.165,6.4296372
39. Madonna di Campiglio/​Pinzolo/​Folgàrida/​Marilleva,Italy,Madonna di Campiglio,1652.0,155.0,50.0,72.0,33.0,"€ 85,-",46.2269942,10.8270157
39. St. Moritz – Corviglia,Switzerland,St. Moritz,1285.0,155.0,42.0,79.0,34.0,,46.4978958,9.8392428
41. Breckenridge,USA,Breckenridge,988.0,153.0,28.0,60.0,65.0,"US$ 321,- / approx. € 273,-",32.7558392,-98.9032554
42. Zillertal Arena – Zell am Ziller/​Gerlos/​Königsleiten/​Hochkrimml,Austria,Zell am Ziller,1920.0,150.1,50.0,88.1,12.0,"€ 79,-",47.2335951,11.881991
43. Beaver Creek,USA,Beaver Creek Village,1233.0,150.0,28.5,64.5,57.0,"US$ 356,- / approx. € 303,-",,
44. La Molina/​Masella – Alp2500,Spain,La Molina,921.0,145.0,80.0,47.0,18.0,"€ 58,-",-12.0901768,-76.92233779667893
45. Sölden,Austria,Sölden,1990.0,143.4,76.4,37.8,29.2,"€ 83,-",46.9673961,11.0070193
46. Espace San Bernardo – La Rosière/​La Thuile,France,La Thuile,1610.0,143.1,56.0,70.5,16.6,"€ 58,-",45.5332609,6.0548688
47. Winter Park Resort,USA,The Village at Winter Park,933.0,143.0,11.0,53.0,79.0,"US$ 283,- / approx. € 241,-",,
47. Formigal,Spain,Formigal,764.0,143.0,48.0,75.0,20.0,"€ 61,-",42.7741349,-0.3608611
49. Mayrhofen – Penken/​Ahorn/​Rastkogel/​Eggalm (Mountopolis),Austria,Mayrhofen,1870.0,142.0,44.0,66.0,32.0,"€ 79,-",47.1672188,11.8638664
49. Fernie,Canada,Fernie Alpine Village,1082.0,142.0,42.0,58.0,42.0,"C$ 189,- / approx. € 117,-",,
51. Silvretta Montafon,Austria,Schruns,1730.0,141.6,60.0,50.0,31.6,"€ 77,-",47.0802089,9.9197063
52. Crans-Montana,Switzerland,Crans,1417.0,140.0,55.0,70.0,15.0,"SFr. 89,- / approx. € 96,-",45.9637,5.19001
53. Lake Louise,Canada,Lake Louise,991.0,139.0,35.0,62.0,42.0,"C$ 175,- / approx. € 109,-",51.4249668,-116.177535
54. Sun Peaks,Canada,Sun Peaks,884.0,135.0,13.5,78.0,43.5,"C$ 199,- / approx. € 123,-",50.8844684,-119.8823295
54. Keystone,USA,Keystone,908.0,135.0,25.0,65.0,45.0,"US$ 292,- / approx. € 248,-",41.9988889,-92.1979353
54. Aspen Highlands,USA,Highlands Village,1108.0,135.0,24.3,40.5,70.2,"US$ 279,- / approx. € 237,-",39.7685294,-105.045203
54. Auron (Saint-Etienne-de-Tinée),France,Auron,850.0,135.0,58.0,45.0,32.0,"€ 44,-",44.2262702,6.9309839
58. Alagna Valsesia/​Gressoney-La-Trinité/​Champoluc/​Frachey (Monterosa Ski),Italy,Alagna Valsesia,2063.0,132.0,29.0,89.0,14.0,"€ 69,-",45.8512107,7.9371767
59. Alta Badia,Italy,Corvara,1454.0,130.0,74.0,47.0,9.0,"€ 80,-",42.2748753,13.8726935
60. Copper Mountain,USA,Frisco,832.0,126.0,30.0,40.0,56.0,"US$ 269,- / approx. € 228,-",37.7792588,-122.4193286
